JobID,refstate,lattice,config,Elapsed,MaxRSS (K),energy (MeV)
loginno,o16gs,6,1n1d,00:01:54,0,-94.959957
4382905,o16gs,6,1n8d,00:01:07,11634504,-94.959959
4424779,o16gs,6,1n4d,00:01:24,20503724,-94.959970
4424778,o16gs,7,1n4d,00:02:50,29476348,-94.969595
4424791,o16gs,8,1n4d,00:04:52,47336060,-94.972021
4423436,o16gs,10,2n8d_diis2,00:44:38,122933164,-94.97263
4425561,o16gs,10,2n8d_diis4,00:38:46,123092028,-94.972619
4432202,o16gs,10,2n8d_diis6,00:33:39,59316364,-94.972618
4590007,ne20gs,4,1n1d,00:00:45,5303740,-119.388652
4590120,ne20gs,5,1n1d,00:01:16,8043620,-118.358740
4590072,ne20gs,6,1n1d,00:03:14,8986940,-118.073884
4590596,ne20gs,7,1n4d,00:08:16,41461164,-117.985556
loginno,mg24gs,4,1n1d,00:00:00,0,-144.536433
loginno,si28gs,4,1n1d,00:00:36,0,-170.285805
loginno,si28gs,5,1n1d,00:01:52,0,-167.630579
loginno,si28gs,6,1n1d,00:10:55,0,-166.694536
loginno,si28gs,6,1n4d,00:05:37,0,-166.708132
4590531,si28gs,7,1n4d,00:15:14,69688464,-166.386724
loginno,s32gs,4,1n1d,00:02:49,0,-185.976911
loginno,s32gs,5,1n1d,00:06:08,0,-184.053833
4742731,s32gs,6,1n4d,00:08:25,0,-183.244079
loginno,ca40gs,4,1n1d,00:04:09,0,-221.314389
4742484,ca40gs,6,1n4d,00:13:15,0,-219.071807
loginno,o16gs,4,1n1d,00:00:15,0,-95.104533
loginno,o16gs,4,1n4d,00:01:04,0,0
loginno,o16gs,4,2n2d,00:05:15,0,0
loginno,o16gs,4,4n1d,00:03:25,0,0
loginno,o16gs,5,1n1d,00:00:27,0,-94.938466
4424779,o16gs,6,1n4d,00:00:49,0,0
loginno,o16gs,5,2n2d,00:04:59,0,0
loginno,o16gs,5,4n1d,00:02:37,0,0
loginno,o16gs,6,1n1d,00:01:54,0,-94.959957
4424779,o16gs,6,1n4d,00:01:24,20503724,-94.959970
loginno,o16gs,6,2n2d,00:15:38,0,0
loginno,o16gs,6,4n1d,00:07:24,0,0
loginno,o16gs,7,1n1d,00:05:18,0,-94.969600
4424778,o16gs,7,1n4d,00:02:50,29476348,-94.969595
loginno,o16gs,7,2n2d,00:04:10,0,0
loginno,o16gs,7,4n1d,00:04:30,0,0
