id,name,node,time,maxRSS
4422908,ccsd2_10_2n8d,frontier[09042-09043],00:04:13,
4423118,ccsd2_10_2n8d,frontier[00026,00086],00:04:26,
4423400,ccsd2_10_2n8d,frontier[02253-02254],00:01:58,
4423407,ccsd2_10_2n8d,frontier[02218,02220],00:02:00,
4423411,ccsd2_10_2n8d,frontier[01871-01872],00:01:59,
4423717,ccsd2_8_2n8d,frontier[08661-08662],00:00:48,
4423902,ccsd2_8_2n8d,frontier[08286-08287],00:00:46,
4423954,ccsd2_8_2n8d,frontier[01946,01999],00:00:46,
4423958,ccsd2_8_2n8d,frontier[08286-08287],00:10:20,
4423436,ccsd2_10_2n8d,frontier[08804,08806],00:44:38,
4424068,ccsd2_8_2n8d,frontier[01880-01881],00:00:09,
4424201,ccsd2_8_2n8d,frontier[08798,08805],00:08:20,
4424405,ccsd2_12_2n8d,frontier[07803-07804],00:00:33,
4424410,ccsd2_10_2n8d,frontier[08775-08776],00:00:31,
4424425,ccsd2_10_2n8d,frontier[08810,08829],00:01:23,
4424439,ccsd2_10_2n8d,frontier[09060-09061],00:01:24,
4424444,ccsd2_10_2n8d,frontier[09060-09061],00:01:21,
4424454,ccsd2_10_2n8d,frontier[00976-00977],00:01:22,
4424462,ccsd2_10_2n8d_t2jit,frontier[08577-08578],00:00:09,
4424464,ccsd2_10_2n8d_t2jit,frontier[08581-08582],00:01:22,
4424475,ccsd2_10_2n8d_t2jit,frontier[00001-00002],00:01:23,
4424515,ccsd2_10_2n8d_t2jit,frontier[08961,08963],00:00:09,
4424519,ccsd2_10_2n8d_t2jit,frontier[09089-09090],00:01:16,
4424521,ccsd2_10_2n8d_t2jit,frontier[09091,09110],00:01:23,
4424455,ccsd2_10_2n8d,frontier[00909,00917],00:44:26,
4424779,ccsd2_6_1n4d,frontier06605,00:01:24,
4424778,ccsd2_7_1n4d,frontier06604,00:02:50,
4424791,ccsd2_8_1n4d,frontier05543,00:04:52,
4424892,ccsd2_10_1n4d,frontier06094,00:01:25,
4425561,ccsd2_10_2n8d_diis4,frontier[09315,09319],00:38:46,
4426129,ccsd2_10_2n8d_diis4,frontier[09465,09470],00:01:23,
4426841,ccsd2_6_1n4d,frontier08584,00:01:16,
4426903,ccsd2_12_2n8d,frontier[08584,08605],00:02:17,
4426929,ccsd2_12_2n8d,frontier[07263,07265],00:00:56,
4427057,ccsd2_12_2n8d,frontier[08158,08160],00:00:53,
4427058,ccsd2_12_2n8d,frontier[09186-09187],00:00:49,
4427060,ccsd2_12_2n8d,frontier[09186-09187],00:01:14,
4427090,ccsd2_12_2n8d,frontier[03952,03957],00:01:15,
4427111,ccsd2_12_2n8d,frontier[07934-07935],00:01:00,
4427114,ccsd2_12_2n8d,frontier[07934-07935],00:01:07,
4427123,ccsd2_12_2n8d,frontier[07933-07934],00:01:16,
4427202,ccsd2_12_2n8d,frontier[03824,03830],00:01:00,
4427204,ccsd2_12_2n8d,frontier[02799,02804],00:01:09,
4427231,ccsd2_12_2n8d,frontier[03569-03570],00:01:12,
4427235,ccsd2_12_2n8d,frontier[06006-06007],00:01:12,
4427241,ccsd2_12_2n8d,frontier[03824,03827],00:00:57,
4427244,ccsd2_12_2n8d,frontier[06519-06520],00:00:56,
4427249,ccsd2_12_2n8d,frontier[04083-04084],00:00:58,
4427260,ccsd2_12_2n8d,frontier[09204,09211],00:01:13,
4427272,ccsd2_12_2n8d,frontier[09204,09212],00:01:08,
4427290,ccsd2_12_2n8d,frontier[09204,09214],00:00:57,
4427295,ccsd2_12_2n8d,frontier[09204,09214],00:01:14,
4427307,ccsd2_12_2n8d,frontier[00068,00070],00:01:09,
4427360,ccsd2_12_2n8d,frontier[00068,00070],00:01:11,
